YEAR,ALABAMA,ALASKA,ARIZONA,ARKANSAS,CALIFORNIA,COLORADO,CONNECTICUT,DELAWARE,FLORIDA,GEORGIA,HAWAII,IDAHO,ILLINOIS,INDIANA,IOWA,KANSAS,KENTUCKY,LOUISIANA,MAINE,MARYLAND,MASSACHUSETTS,MICHIGAN,MINNESOTA,MISSISSIPPI,MISSOURI,MONTANA,NEBRASKA,NEVADA,NEW-HAMPSHIRE,NEW-JERSEY,NEW-MEXICO,NEW-YORK,NORTH-CAROLINA,NORTH-DAKOTA,OHIO,OKLAHOMA,OREGON,PENNSYLVANIA,RHODE-ISLAND,SOUTH-CAROLINA,SOUTH-DAKOTA,TENNESSEE,TEXAS,UTAH,VERMONT,VIRGINIA,WASHINGTON,WEST-VIRGINIA,WISCONSIN,WYOMING,US-AVG,MEAN,STDDEV,POP1STDDEV,2XSTDDEV,POP2STDDEV,CV,MI-DIFF,FL-DIFF,TX-DIFF
1981,11.87436159,14.5631068,8.127461511,9.110723627,13.00964444,8.066149173,5.363984674,6.688963211,14.97147354,17.23828335,4.80081716,4.483837331,10.51942383,7.098426637,2.623403521,6.341873163,8.413001912,15.6329849,3.180212014,9.880309786,3.639514731,9.357678513,2.078239609,12.60869565,10.44957473,3.409090909,3.109137056,17.5147929,2.887700535,7.323334685,11.37905049,12.31101512,9.090909091,2.279635258,7.414625093,9.0058102,4.420098224,6.144639245,4.201680672,10.423247,1.751824818,9.718004338,16.57743138,3.298153034,4.27184466,8.551419093,5.056980057,6.04818042,3.397341211,5.487804878,861,7.9039,4.2712,62%,8.5424,94%,54%,1.4538,5.8257,8.6735
1982,10.57570378,18.49315068,8.251748252,8.162374509,11.2400906,5.977011494,5.201395496,5.315614618,13.52726575,12.64408583,3.118712274,2.487046632,8.778825996,6.488758911,2.30636833,5.73089701,9.680938097,16.00183402,2.118270079,10.12895662,3.788271925,9.078932923,2.298572466,14.03371227,9.674813169,3.870162297,1.954602774,13.62088536,2.208201893,6.480236623,11.62619573,11.39928648,9.054660243,0.746268657,6.264479659,10.82782499,5.134012835,5.714285714,3.653444676,10.86481424,2.749638205,9.718340142,16.13874346,3.410553411,2.325581395,7.3757057,4.358068316,5.23613963,3.105981112,9.163346614,827,7.4421,4.294,64%,8.5881,96%,58%,1.6368,5.1435,8.6966
1983,9.19424097,13.77870564,7.188660142,7.64604811,10.48303806,6.435170436,4.110898662,4.125412541,11.22659176,8.426378227,5.571847507,3.53892821,9.68135121,5.219930644,2.340791738,5.649484536,9.800753904,14.17305092,2.094240838,8.526951673,3.520027744,10.03418238,1.665057915,11.20989563,8.108651911,3.671970624,2.629931121,12.79461279,1.981230448,5.342795929,8.86347391,11.08280976,8.056560342,2.058823529,5.58347292,7.550030321,4.094665665,4.901219,2.722513089,9.834558824,2.142857143,8.751334045,14.23937929,3.458925263,3.619047619,6.972972973,4.930232558,4.885496183,2.75731425,5.836575875,910,6.6503,3.4825,66%,6.965,94%,52%,3.3839,4.9852,7.5891
1984,9.373433584,11.6,7.795610875,7.492550021,10.60416829,5.789804909,3.868103995,4.078303426,11.51603499,9.354120267,3.272377286,3.396603397,8.974024846,5.511094944,2.027491409,3.650533224,6.553854418,12.88659794,1.730103806,8.139802253,3.639185926,9.685950413,1.77799135,9.699769053,7.1485623,4.368932039,3.362391034,10.75740944,1.023541453,5.349301397,9.129213483,10.0704821,8.742903487,1.166180758,5.124627976,7.822922984,4.7868362,4.520628519,3.43035343,9.242424242,1.841359773,8.352766589,13.09024955,2.84503632,2.264150943,7.700496806,4.644745919,4.405737705,2.454888796,3.326810176,879,6.1878,3.3114,64%,6.6228,96%,54%,3.4981,4.4098,6.9024
1985,9.848296444,9.788867562,7.969877628,7.927087749,10.50635312,5.849582173,3.780718336,4.823151125,11.40242829,10.37483266,4.079696395,2.189054726,8.036410923,5.801054737,1.907073509,4.93877551,6.870638755,10.8681098,2.405498282,7.923497268,3.469598076,11.20158451,2.098735989,10.56257176,8.132829588,5.811138015,2.926525529,10.25641026,2.104208417,5.382174028,10.89655172,9.464094922,8.313349321,1.02189781,5.156366344,7.694637988,4.652028284,4.640175483,3.615702479,9.082760681,1.836158192,9.008819824,13.02382407,3.039513678,3.364485981,7.097791798,5.239283284,3.770661157,2.827225131,4.322200393,1018,6.3461,3.1746,58%,6.3492,98%,50%,4.8555,4.2474,6.6777
1986,10.0912904,8.61423221,9.255351221,8.05227656,11.2597754,7.040097949,4.640953277,4.897314376,11.74304069,11.23853211,4.802259887,3.190428714,8.870198561,5.97747093,1.788846019,4.388459976,6.652360515,12.7749389,1.95911414,8.984987676,3.566529492,11.28485511,2.491694352,11.23809524,9.159099882,2.93040293,3.128911139,12.56490135,2.239532619,5.236220472,11.49425287,10.73036237,8.134575896,1.030927835,5.533854167,8.139183056,6.597479615,5.542938851,3.487179487,8.614564831,3.95480226,10.43098064,13.5355473,3.183183183,2.033271719,7.102125454,4.996639032,5.940594059,3.113897597,5.325443787,1032,6.7797,3.4186,56%,6.8372,100%,50%,4.5052,4.288,6.7559
1987,9.306882194,10.0952381,7.471943296,7.621440536,10.57007555,5.794902913,4.858299595,5.124223602,11.40314397,11.81292189,4.801477378,3.106212425,8.349162494,5.550533357,2.081863091,4.442649435,7.512744835,11.11858328,2.527379949,9.614112459,2.954739539,12.2173913,2.637776731,10.24761905,8.289241623,4.079110012,3.450439147,8.440913605,3.02743614,4.575078206,10.13333333,11.30995792,8.092936223,1.488095238,5.841988131,7.457212714,5.616740088,5.378686327,3.54969574,9.284671533,1.833568406,9.145211123,11.66835428,3.273809524,2.737226277,7.401761518,5.641251653,4.849762783,3.494903266,2.040816327,1124,6.4665,3.1508,58%,6.3016,100%,49%,5.7509,3.8287,5.2019
1988,9.886115823,5.653021442,8.482400462,8.711808423,10.42317523,5.683890578,5.36871336,5.151515152,11.44057526,11.68567411,4.025617566,3.603603604,8.584546085,6.421524664,1.65843331,3.417772417,6.154259608,11.58371041,3.067993367,9.66838932,3.542837677,10.84946237,2.87970274,8.564902931,8.036582993,2.611940299,3.62273579,10.47169811,2.278942571,5.323834197,11.45695364,12.53771371,7.814894269,1.809954751,5.380794702,7.447134539,5.071141919,5.487652781,4.120603015,9.304322932,3.076923077,9.371823541,12.05005959,2.779420461,1.978417266,7.805203469,5.71552284,4.936305732,2.964182791,2.547770701,1009,6.4502,3.2191,58%,6.4381,100%,50%,4.3992,3.5705,5.5998
1989,10.22340942,7.969639469,6.664791901,8.437240233,10.86604962,4.401567682,5.866008027,5.052005944,11.08831189,12.74083282,4.76618705,2.564102564,9.015268485,6.311460755,1.901408451,5.491444489,7.861550845,14.90187129,3.191489362,11.58926289,4.295619821,10.70850857,2.549965541,9.652804273,7.927893003,2.853598015,2.482929857,8.190819082,3.25203252,5.093071355,8.638743455,12.51253482,8.887536144,0.606060606,5.977812414,6.513647643,4.75177305,6.254152824,4.909819639,9.111617312,1.258741259,8.441295547,11.94161615,2.636203866,1.940035273,7.871433257,4.389834068,6.515885837,3.616190672,4.421052632,993,6.5821,3.365,62%,6.73,98%,51%,4.1264,4.0322,5.3595
1990,11.55772664,7.45396269,7.748494773,10.25215625,11.93883566,4.188934293,5.050019531,4.953705372,10.65858624,11.83967932,3.970298557,2.681899858,10.34066272,6.204728255,1.944716044,3.955482258,7.163603683,17.15650787,2.443139989,11.54457167,4.038943392,10.44614282,2.6742252,12.16376705,8.774547481,4.880704323,2.724303639,9.651923354,1.893167648,5.588479866,9.174499643,14.47990059,10.726187,0.782717595,6.11222431,8.043019025,3.799711574,6.741491896,4.783430198,11.18535189,2.011482693,10.47735528,14.06410145,3.018254636,2.310051567,8.808282954,4.890385502,5.687276726,4.599563062,4.850216496,971,7.0486,3.8667,62%,7.7334,98%,55%,3.3976,4.3744,7.0155
1991,11.46979702,7.368421053,7.76,11.12984823,12.70243581,5.892804264,5.682163476,5.441176471,9.399713791,12.81896422,3.964757709,1.828681424,11.26223685,7.540106952,2.039355993,6.132264529,6.813897118,16.9332079,1.214574899,11.70781893,4.152768512,10.7707088,2.955776173,12.80864198,10.52733618,2.599009901,3.26428123,11.83800623,3.619909502,5.231958763,10.52971576,14.23745708,11.41457622,1.102362205,7.157875491,7.244094488,4.551676934,6.337262771,3.685258964,11.29213483,1.706970128,11.04381183,15.28618364,2.937853107,2.116402116,9.274578428,4.204862495,6.163242643,4.823410696,3.260869565,1009,7.3048,4.103,62%,8.2059,98%,56%,3.4659,4.349,7.9814
1992,11.00096712,7.495741056,8.141962422,10.79616507,12.70288658,6.224783862,5.0594331,4.644412192,8.956109134,10.97615168,3.620689655,3.467666354,11.3661766,8.194984105,1.564722617,5.984938565,5.752330226,17.42477257,1.700404858,12.14343928,3.567855952,9.939599449,3.348214286,12.24177506,10.53341036,2.912621359,4.234122042,10.92690279,1.620162016,5.09693157,8.918406072,13.22920691,10.56554143,1.886792453,6.572258533,6.537982565,4.669129997,6.212007661,3.582089552,10.35248404,0.562587904,10.35031847,12.6812415,2.978488693,2.105263158,8.844284146,5.023364486,6.346578366,4.353904534,3.64806867,938,7.0212,3.8512,64%,7.7023,98%,55%,2.9184,3.673,5.66
1993,11.5595892,9.015025042,8.612804878,10.18976898,13.12357823,5.776780707,6.286237412,5,8.948022516,11.4066792,3.839590444,2.911737944,11.38753527,7.526693506,2.345415778,6.361122086,6.57165479,20.34924331,1.614205004,12.72910373,3.875582169,9.843848913,3.431481072,13.50737798,11.27244937,2.979737783,3.920348475,10.36717063,2.044444444,5.305241782,8.044554455,13.29889542,11.30309575,1.732283465,6.013885132,8.449396472,4.617414248,6.831009296,3.9,10.34861378,3.356643357,10.21768974,11.90727081,3.11827957,3.645833333,8.303805269,5.15699334,6.923076923,4.40651052,3.404255319,933,7.3416,3.9447,64%,7.8895,98%,54%,2.5022,3.9102,4.5656
1994,11.87485186,6.270627063,10.45398773,11.98532409,11.78136235,5.443107221,6.564885496,4.674220963,8.349458898,9.964564139,4.240882103,3.530450132,11.72566372,7.875521558,1.66136444,6.656225529,6.375751241,19.8377752,2.258064516,11.56612066,3.542459858,9.762005055,3.218743157,15.32409142,10.49640015,3.271028037,3.14232902,11.66781057,1.407211961,5.010121457,10.70133011,11.09582255,10.91937765,0.156739812,5.962889569,6.936771025,4.86066105,5.907733156,4.112337011,9.634279476,1.386962552,9.314009662,11.00228534,2.935010482,1.034482759,8.714896215,5.50252667,5.433589462,4.466745376,3.361344538,927,7.0674,4.0756,70%,8.1513,96%,58%,2.6946,3.8487,3.9348
1995,11.16858688,9.105960265,10.4077762,10.42673108,11.17794169,5.764611689,4.580152672,3.486750349,7.320344487,9.484793779,4.717775906,4.127257094,10.32121724,8.03032914,1.794510908,6.198830409,7.150259067,17.0428374,2.014504432,11.82070607,3.572604544,8.461619018,3.947939262,12.90322581,8.809166041,4.022988506,2.932193036,10.65359477,1.829268293,5.147891756,8.783382789,8.546537274,9.409312022,0.936037441,5.380683347,12.20256254,4.106972302,6.254141816,3.333333333,7.94990471,1.783264746,10.59741248,9.041871395,3.895438237,2.222222222,7.60048353,5.063524213,4.868708972,4.274838962,2.083333333,808,6.7351,3.5659,62%,7.1318,98%,53%,1.7265,2.7872,2.3067
