Year, Rape/100K ,Population
1958, 18.52 ,88135
1959, 26.02 ,88135
1960, 11.35 ,88135
1961, 6.72 ,89222
1962, 1.11 ,90309
1963, -   ,91396
1964, 27.03 ,92483
1965, 12.82 ,93570
1966, 35.91 ,94657
1967, 4.18 ,95744
1968, 9.29 ,96831
1969, 16.43 ,97918
1970, 20.20 ,99006
1971, 29.43 ,101934
1972, 35.30 ,104863
